JK;Usia;Asal;Biaya;Pekerjaan_Ortu;Pend_Ayah;Pend_Ibu;Kiriman;Pengeluaran;Beasiswa
LAKI-LAKI;17;KALIMANTAN BARAT;9000000;PEGAWAI BUMN;S1;S1;1500000;1000000;TIDAK
LAKI-LAKI;18;BLITAR;10000000;PNS;S2;S1;1000000;500000;TIDAK
LAKI-LAKI;17;DKI JAKARTA;9000000;WIRASWASTA;S2;S1;2000000;1400000;TIDAK
LAKI-LAKI;18;BOGOR;9000000;PEGAWAI BUMN;S1;S1;1000000;700000;TIDAK
LAKI-LAKI;17;CIMAHI;7000000;TNI/POLRI;S1;SMA/Sederajat;1100000;1100000;YA
LAKI-LAKI;18;BOGOR;10000000;PNS;S1;S1;1000000;700000;TIDAK
LAKI-LAKI;18;PADANG;2400000;WIRASWASTA;SMA/Sederajat;S1;1000000;800000;TIDAK
LAKI-LAKI;18;BANYUMAS;0;PETANI;SMA/Sederajat;SD;0;500000;YA
PEREMPUAN;18;LAMPUNG;7000000;WIRASWASTA;DIPLOMA;S1;1000000;800000;TIDAK
PEREMPUAN;18;TANGERANG SELATAN;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;500000;500000;TIDAK
LAKI-LAKI;18;TANGERANG;9000000;KARYAWAN SWASTA;S1;S1;1500000;1000000;TIDAK
PEREMPUAN;19;MAKASSAR;0;PNS;S2;S1;0;1000000;YA
PEREMPUAN;18;JAWA TIMUR;11000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1500000;1500000;TIDAK
LAKI-LAKI;18;JAKARTA;2400000;WIRASWASTA;DIPLOMA;SMA/Sederajat;600000;500000;TIDAK
LAKI-LAKI;18;PALEMBANG;5000000;PNS;S2;S1;800000;600000;TIDAK
PEREMPUAN;18;BOGOR;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;800000;TIDAK
PEREMPUAN;18;KALIMANTAN TENGAH;0;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;2000000;1500000;YA
LAKI-LAKI;18;BALI;7000000;PNS;DIPLOMA;S1;800000;300000;TIDAK
PEREMPUAN;18;SUKABUMI;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;600000;600000;YA
LAKI-LAKI;18;BOGOR;5000000;DOSEN;S2;S1;1000000;800000;TIDAK
